Datotid,Varenummer,Varenavn,Volum,Pris,Literpris,Varetype,Produktutvalg,Butikkategori,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Farge,Lukt,Smak,Passertil01,Passertil02,Passertil03,Land,Distrikt,Underdistrikt,Argang,Rastoff,Metode,Alkohol,Sukker,Syre,Lagringsgrad,Produsent,Grossist,Distributor,Emballasjetype,Korktype,Vareurl
2014-12-18T00:20:16,1101,Løiten Linie,0.70,399.90,571.30,Akevitt,Basisutvalget,Butikkategori 3,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"","Poteter, krydder",16 mnd på fat,41.50,5.00,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1101
"",1102,Løiten Linie,0.35,239.90,685.40,Akevitt,Basisutvalget,Butikkategori 3,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"","Poteter, krydder",Lagret 16 md. på fat.,41.50,5.00,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1102
"",1201,Gilde Non Plus Ultra,0.70,599.90,857.00,Akevitt,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,Middels dyp gyllengul.,"Aroma med fint preg av karve, sitrus og blomst over innslag av fat.","Fint preg av karve, sitrus og integrert fat. God fylde og lengde.","","","",Norge,Øvrige,Øvrige,"","Poteter, krydder",12 år på fat,41.50,3.00,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1201
"",1301,Aalborg Taffel Akvavit,0.70,329.90,471.30,Akevitt,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Danmark,Øvrige,"","","","",45.00,Ukjent,Ukjent,"",V&S Dist.,Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1301
"",1302,Aalborg Taffel Akvavit,0.35,219.90,628.30,Akevitt,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Danmark,Øvrige,"","","","",45.00,Ukjent,Ukjent,"",V&S Dist.,Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1302
"",1502,Løiten Export,0.50,274.90,549.80,Akevitt,Basisutvalget,Butikkategori 3,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"","Poteter, krydder",3-6 mnd på fat,40.00,8.00,Ukjent,"","",Arcus AS,Vectura AS,PET,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1502
"",1801,Bommerlunder,0.70,319.90,457.00,Akevitt,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,Vannklar.,"Sitrus, litt krydder og anis.","Ren, tørr, middels fyldig. Sitrus og anis.","","","",Tyskland,Øvrige,Øvrige,"","",Original resept siden 1760.Produsert ved destillasjon.Utviklet på eikefat.,38.00,Ukjent,Ukjent,"",Berentzen Dist.,Interbev AS,Trebuchet AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1801
"",2001,Graham's Late Bottled Vintage 2008,0.75,199.90,266.50,Portvin,Basisutvalget,Butikkategori 2,9,8,0,0,9,Mørk rød.,"Svalt preg av modne mørke bær, tørket frukt, lakris og krydder.","Rik, sødmefull og fint balansert. Fast, litt krydderpreget ettersmak.","Dessert, kake, frukt","",Ost,Portugal,Douro,Øvrige,2008,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca, Tinto Cão",Temperaturkontrollert gjæring i ståltanker. 4-5 års fatlagring.,20.00,101.50,4.40,"Drikkeklar nå, men kan også lagres",W&J Graham,Stenberg & Blom AS,Cuveco AS,Engangsflasker av glass,Naturkork,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2001
"",2002,Graham's Late Bottled Vintage 2008,0.38,115.00,306.70,Portvin,Basisutvalget,Butikkategori 6,8,8,0,0,8,Mørk rød.,"Svalt preg av modne mørke bær, tørket frukt, lakris og krydder.","Rik, sødmefull og fint balansert. Fast, litt krydderpreget ettersmak.","Dessert, kake, frukt","",Ost,Portugal,Douro,Øvrige,2008,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca, Tinto Cão",Temperaturkontrollert gjæring i ståltanker. 4-5 års fatlagring.,20.00,101.50,4.40,"Drikkeklar nå, men kan også lagres",W&J Graham,Stenberg & Blom AS,Cuveco AS,Engangsflasker av glass,Naturkork,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2002
"",2401,Brennevin Seksti,0.70,424.90,607.00,Vodka,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"",Potetsprit,Destillasjon. Ingen lagring.,60.00,Ukjent,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2401
